region,Agricultural,Commercial,Residential
Riyadh,5.462467899,7.096998274,87.44053383
Makkah,0.351630767,7.563219843,92.08514939
Eastern Province,1.267589904,12.27942819,86.45298191
Qassim,3.281719436,7.742084585,88.97619598
Madinah,1.388508267,9.856581712,88.75491002
Asir,2.681910461,8.32353884,88.9945507
Hail,7.990026019,9.952298352,82.05767563
Jazan,2.497749775,5.378037804,92.12421242
Tabuk,2.961063185,19.8880858,77.15085101
Al Jouf,5.673552517,7.884783241,86.44166424
Najran,1.998597475,11.00981767,86.99158485
Northern Borders,0.617045893,8.908600077,90.47435403
Al Baha,6.107566089,3.099361896,90.79307201
