region,1,2,3,4,QoQ_change_%
Hail,89.4814549684578,186.67164457718872,207.52583979328165,137.5,53.7
Al Jouf,139.50892857142858,156.1264548212455,166.66666666666666,194.6969696969697,39.6
Tabuk,484.8484848484849,490.2056903076531,537.5139977603584,644.4759648033427,32.9
Northern Borders,47.61904761904762,55.250305250305246,55.55555555555556,62.621875108160566,31.5
Al Baha,157.81635220125787,161.13438607798903,247.5198482154109,200.0,26.7
Jazan,333.3333333333333,520.0,348.46318799142244,411.94566052144035,23.6
Riyadh,1300.0,1630.0,1380.9895030283901,1550.0,19.2
Najran,121.95121951219512,125.32330827067668,125.78616352201256,138.88888888888889,13.9
Eastern Province,1069.6666666666667,1046.610987836185,1320.0,1200.0,12.2
Madinah,900.0,900.0,1090.909090909091,899.9648451232374,-0.0
Asir,470.0,714.2857142857143,668.8963210702341,437.5,-6.9
Makkah,1908.979841172877,2121.835898205207,1250.0,1750.0,-8.3
Qassim,369.5733739433667,346.95937421145595,325.1680034684587,310.0,-16.1
