region,Economy (<300K),Mid (300K-700K),Upper-Mid (700K-1.5M),Luxury (>1.5M)
Al Baha,81.12449799,15.16064257,2.911646586,0.803212851
Al Jouf,89.59946146,7.606866375,2.255132952,0.538539212
Asir,52.76743907,28.58686517,15.86024733,2.785448433
Eastern Province,31.9467769,36.52951815,22.86849244,8.655212505
Hail,83.7098692,11.70564143,3.79178227,0.792707095
Jazan,59.9902296,35.27112848,3.395212506,1.343429409
Madinah,41.16920543,32.20461095,21.37710992,5.249073693
Makkah,25.16806146,43.0283075,21.57360406,10.23002698
Najran,87.06166868,9.230149133,3.224506247,0.483675937
Northern Borders,92.07161125,6.010230179,1.747655584,0.170502984
Qassim,77.62987013,16.83766234,4.603896104,0.928571429
Riyadh,25.2747385,36.95639091,27.33061303,10.43825756
Tabuk,51.85856754,32.39649441,13.84103959,1.903898459
